question,answer,source,theme
What happens to recycled mattresses?,"Boston Carting collects and stores them in Everett facility. Once 50+ accumulate, Green Mattress Recycling collects within 2 business days, disassembles them, and ships parts to recyclers. Springs become new steel items, foam becomes carpeting, fabrics/fibers become textiles or padding, wood is mulched or used as fuel.","DPW Training Manual 2024.docx, Mattress & Box Spring Recycling section",DPW
How do I schedule a mattress or box spring pickup?,"Contact 311 to schedule mattress/box spring recycling pickup. Pickup occurs the day after regular trash day for Monday-Thursday (same day for Friday collections). On holiday weeks, collection is Wednesday-Saturday. Request must be submitted by 3:30PM the night before collection. Items must be placed at curb after 4PM day before and before 7AM on pickup day. Bed bug infested items will not be accepted for recycling program.","DPW Training Manual 2024.docx, Mattress & Box Spring Recycling section; New Hire Training PPT.pdf",DPW
How do I report a missed trash pickup?,"Contact 311 to report missed trash, recycling, or yard waste after 4PM the day of collection and no later than 3:30PM the day after normal collection. Verify that missed item was not deemed 'unacceptable' and that waste was on curbside by 7AM on correct collection date. Waste container must remain on sidewalk. Missed pickups are generally collected next business day between 3:30PM and 5PM.","DPW Training Manual 2024.docx, Missed Trash Pickup section",DPW
How do I report a pothole?,"Call 311 to report potholes. Include exact location and take a photo if possible. A pothole is a perforation/cracking of surface asphalt on the street, generally 1-10 inches deep, caused by wear and tear of traffic and weather. DPW will generally fill the pothole with asphalt within 2 business days assuming equipment and supplies are available.","DPW Training Manual 2024.docx, Potholes section; New Hire Training PPT.pdf",DPW
What is a sinkhole and how is it different from a pothole?,"A sinkhole is caused by erosion of ground beneath asphalt often due to a watermain or sewer line leak. It often looks small on surface but is very deep and can cave in with little notice creating a hazardous crater. Sinkhole reports are handled by Water and Sewer department. Sawhorses/barriers are placed immediately, cause is identified and resolved, then DPW fills hole and patches asphalt.","DPW Training Manual 2024.docx, Potholes/sinkholes section",DPW
Do I need a permit to remove a tree on my private property?,"Effective August 1, 2019, you must apply for a permit to remove a non-hazardous, living, noninvasive tree on private property that measures more than eight inches in Diameter at Breast Height (DBH) via citizenserve online portal. Hazardous trees (danger to public health/safety, threat to life/property, severely damaged, or poses threat during emergency) don't require a permit but need verbal or written authorization from the Tree Warden. More info: somervillema.gov/departments/tree-removal-guidelines","DPW Training Manual 2024.docx, Private Tree removal Permits section",DPW
What are acceptable recyclable items?,"Acceptable items are paper, cardboard (collapsed), plastic (#1-7), glass, and aluminum. All must be comingled in the city-issued recycling cart. Paper food containers (pizza/cake boxes) may be recycled if all food particles removed. Recycling placed in a non-city issued cart will not be collected.","DPW Training Manual 2024.docx, Recycling section",DPW
Can I recycle plastic bags?,No. Plastic bags cannot be recycled curbside but may be returned to the store and placed in their 'plastic bags' recycle container or disposed as regular trash.,"DPW Training Manual 2024.docx, Recycling section",DPW
Can I recycle bottle caps?,Bottle caps and lids that are secured to the bottle can be recycled. But caps and lids that can be easily dislodged must be disposed as regular trash as loose bottle caps get stuck in the automatic sorting machinery resulting in costly repairs and loss of processing time.,"DPW Training Manual 2024.docx, Recycling section",DPW
What is the Report Man and when should I contact them?,"The Report Man is DPW on-call staff available for emergencies after regular hours and weekends. This includes removal of dead animals and down tree limbs, posting temporary no parking signs for upcoming DPW work, emptying permanent city barrels as needed, and sweeping main streets/squares overnight. For emergencies, call 617-590-3570. Generally there are at least 2 individuals on call.","DPW Training Manual 2024.docx, Report man section; DPW INFO Quick Reference guide 2024.docx",DPW
How do sidewalk repairs work?,An initial assessment is completed by DPW within three business days to address immediate safety concerns. Sidewalk repairs cannot be worked on during winter months (typically November-March) except for safety concerns and temporary patches as cement won't cure in cold weather. DPW handles small projects (1-3 damaged panels) in house. Larger projects may be bid to contractor or referred to Engineering. Handicapped ramp repairs are handled by specialized contractors overseen by Engineering.,"DPW Training Manual 2024.docx, Sidewalk Repairs section",DPW
Can tree wells be modified during sidewalk repairs?,"Yes. Tree wells may be enlarged during sidewalk repairs to accommodate tree roots. Additionally, due to excessive or raised root systems, some sidewalk panels may only be replaced with asphalt instead of cement.","DPW Training Manual 2024.docx, Sidewalk Repairs section",DPW
What are the blue flashing snow lights?,Blue flashing lights are installed at 22 key intersections in the city and are lit while a snow emergency is in effect. The Electrical Lights & Lines division manages and repairs these blue flashing signals.,"DPW Training Manual 2024.docx, Snow Blue Flashing signals section; New Hire Training PPT.pdf",DPW
Where can I get sand during winter?,"DPW places sand barrels on sidewalks at busy intersections and streets with inclines after Thanksgiving. Sand is available to the public. Additionally, a sand pile is maintained in a parking spot in front of DPW during snow season. Constituents may bring a container to collect sand for personal use. Submit 'sand barrel' request through 311 to have barrels refilled.","DPW Training Manual 2024.docx, Snow operations - sand barrels section",DPW
What are snow emergency parking rules?,"In winter seasons that begin in an even year, there is even-side-only parking during snow emergencies. In winter seasons that begin in an odd year, there is odd-side-only parking during snow emergencies, except where otherwise posted. The intent is to equitably distribute hardships of snow and ice removal from plowing operations.","DPW Training Manual 2024.docx, Snow operations section",DPW
Will DPW shovel snow that was plowed onto my driveway or sidewalk?,"No. During snow emergencies, plows push snow as close to the curb as possible to assure clearance and safety. While DPW does their best to avoid plowing extra snow onto sidewalks and driveways, it's sometimes unavoidable in a densely populated community. DPW cannot accept requests for removal from sidewalks/driveways as a result of clearing roads. It is the property owner and residents' responsibility to clear snow from sidewalks.","DPW Training Manual 2024.docx, Snow operations section",DPW
Are trash and recycling collected on holidays?,"Collection is delayed one day on: New Year's Day, Martin Luther King Day, President's Day, Patriots Day, Memorial Day, Independence Day, Labor Day, Indigenous People Day, Veteran's Day, Thanksgiving Day, and Christmas Day. If holiday falls on Monday, collection is Tuesday-Saturday instead of Monday-Friday. If holiday falls on another day, delay only affects that day and after.","DPW Training Manual 2024.docx, Solid Waste Collection - holidays section",DPW
What trash collection zones exist in Somerville?,"The City of Somerville is divided into 5 waste collection zones. Trash, recycling, and yard waste for each zone is collected one day a week starting on the west on Monday and moving a zone east for every consecutive day, ending in East Somerville on Friday. Enter address at somervillema.gov/wizard to verify schedule.","DPW Training Manual 2024.docx, Solid Waste Collection section",DPW
When is street sweeping conducted?,"Main streets and squares are swept overnight midnight-6AM on a set weekly schedule by DPW. Public streets are swept 8AM-12PM by contractor Millennium Street Sweeping. Odd side swept on 1st and 3rd scheduled day, even side on 2nd and 4th day. Generally alternating weeks on side streets. The city's official notification is the posted signs on the street.","DPW Training Manual 2024.docx, Street Sweeping section",DPW
How do I report a street light that's out?,Call 311 to report streetlight outages. DPW assesses all reports to determine if repairs can be done in-house or outsourced to contractor Dagle. Repairs are generally completed within 10 business days. The city has been transitioning to energy efficient LED lights since 2015.,"DPW Training Manual 2024.docx, Streetlights section",DPW
Who handles textile recycling?,"Simple Recycling collects residential textile recycling curbside. They work with thrift stores to resell up to 20% of collected material. Of the remaining 80%, some is sent for international sale and remainder is used as raw material. Overall, 40% is reused as secondhand clothing, 30% as rags/industrial material, 30% recycled into insulation, carpet padding, automotive materials.","DPW Training Manual 2024.docx, Textile Recycling section",DPW
How do I request a tree planting?,"Contact 311 to request planting a tree on public property, sidewalk, in a park, or another area. Requests are assessed by the city arborist. The location of other trees, powerlines, poles, driveways, and existence of a previous tree location will impact the decision. The Urban Forestry division has increased its tree planting goal to plant 350 trees each year.","DPW Training Manual 2024.docx, Tree Plantings section",DPW
How do I request a city tree removal?,"Call 311 to report a dead or damaged tree. DPW removes trees that the city arborist or tree warden has determined is dead or poses imminent safety hazard. Trees may remain on to-be-removed list for several months. Removals are scheduled according to hazard assessment. Once tree is cut down, it may take several weeks or months for stump to be removed or ground down. Requests to remove a healthy city tree are reviewed in a public tree hearing.","DPW Training Manual 2024.docx, Tree removal section",DPW
How do I request a tree trimming?,"Call 311 to request tree trims from April 15 to November 1. Tree trim requests must clearly identify the issue such as tree branch hitting property/power line, or low enough to hit people. Generally handled within 2-3 weeks, though due to staffing shortages currently taking several months. DPW can trim trees during winter in emergency situations. The city cannot trim trees on private property.","DPW Training Manual 2024.docx, Tree Trims section",DPW
Who collects trash and recycling in Somerville?,"Boston Carting Services LLC collects trash, recycling, yard waste and white goods for Somerville. The company also operates under the names Barry Brothers and Jet-A-Way. Boston Carting bought out Russell Disposal. Collection trucks may still have Russell Disposal logo. Boston Carting may repurpose trucks (trash truck for recycling or vice versa).","DPW Training Manual 2024.docx, Waste Vendors section",DPW
Where does Somerville's recycling go?,Somerville's recycling is picked up by Boston Carting and delivered to Casella Waste Management recycling facility for processing.,"DPW Training Manual 2024.docx, Waste Vendors section",DPW
Are White Goods stickers refundable?,"No. White Goods stickers are non-refundable. However, an unused sticker can be held indefinitely until needed as it does not expire or lose its value.","DPW Training Manual 2024.docx, White Goods section",DPW
When can I put out my Christmas tree for pickup?,"Starting the first full week in January, place your Christmas tree curbside on your regular trash day. Trees must be clear of all decorations, lights, and tinsel, and cannot be in any bag. DPW will collect within a few days. Trees must remain on sidewalk until collected. After mid-February, bring trees to DPW yard or wait until yard waste collection resumes in April. Artificial Christmas trees are disposed as regular trash.","DPW Training Manual 2024.docx, Yard Waste - Christmas trees section",DPW
Where can I get Yard Waste stickers?,"Yard waste stickers may be picked up at the DPW Monday-Friday 8AM-4PM, at the City Hall Welcome Desk (93 Highland Ave) M-W 8:30AM-4:30PM, TH 8:30AM-7:30PM & F 8:30AM-12:30PM, or can be mailed out by contacting 311.","DPW Training Manual 2024.docx, Yard Waste section",DPW
Can I bring yard waste to the DPW yard?,"Yes. Residents may bring a trunk full of yard waste to the DPW yard weekdays between 8:30AM and 12PM or between 1PM and 3:30PM all year long. Yard waste cannot be in plastic bags - it should be in a barrel, paper yard waste bag or tied into a bundle with string or twine. Proof of residency is required. Drop-off is open to residents only, not contractors.","DPW Training Manual 2024.docx, Yard Waste section",DPW
What are the five divisions of the DPW?,"The DPW is divided into five divisions: Highway, Sanitation, Electrical Lights & Lines, Buildings, and Grounds. Each division has a superintendent and several foremen who manage various crews. The superintendents report to the DPW commissioner.","New Hire Training PPT.pdf, DPW Training - Divisions slide; DPW Training Manual 2024.docx, Divisions section",DPW
What items can I drop off at the DPW yard?,"You can drop off TVs, monitors, electronics, yard waste, and tires (up to 4 car tires with rims removed) at the DPW yard. Drop-off requires proof of residency such as a driver's license or utility bill. Hours are weekdays 8:30AM-12PM and 1PM-3:30PM. Hazardous waste events are held once a month on Saturdays, April-November, 9AM-12PM.","New Hire Training PPT.pdf, DPW Training - Drop-off slide",DPW
How do I schedule textile recycling pickup?,"Schedule textile pickup at simplerecycling.com or call 866-835-5068. Leave textile items (clothing, shoes, accessories, jewelry, blankets, drapes, dishes, silverware) on your porch or steps, NOT on the sidewalk, in a bag of any color or closed cardboard box (up to 50 lbs). Pickup doesn't need to be on your regular trash day - it can be any day Monday-Friday starting at 7am.","New Hire Training PPT.pdf, DPW Training slide; DPW Training Manual 2024.docx, Textile Recycling section",DPW
What additional services does the Elections Department provide?,"Elections provides: proof of residency for tax abatement, welcome home bonuses for veterans in Armed Forces, proof of citizenship for license to carry a firearm application, and life certificates for pension renewals. They hold Statements of Financial Interest for Ethics Commission filed by local elected officials and designated City employees. They facilitate non-municipal elections including Retirement Board Ballots (counted by hand).","Elections Quick Reference Training Guide 2024.docx, Additional Services section",Elections
What happens if I don't complete the census?,"By not responding to the Annual Census, your voter status will be changed to INACTIVE which will extend wait times on Election Day and may prevent you from exercising your right to vote. Even if not a registered voter, responding ensures the Elections office can provide written proof of residency in Somerville if needed.","Elections Quick Reference Training Guide 2024.docx, Annual City Census Data section",Elections
How is census data used?,"Census information is used by: Assessing Department, Treasury Department, School Department, Council on Aging, Police Department, Law Department, DPW, Personnel Department, SomerStat, OSPCD, Inspectional Services and State Jury Commission. A list of all residents 17 and older is sent to Office of Jury Commissioner every year to create Master Juror Lists. Census data also dictates flow of some population-based federal funding.","Elections Quick Reference Training Guide 2024.docx, Annual City Census Data section",Elections
What are the requirements for an absentee ballot?,"To be eligible for absentee ballot in Massachusetts, a voter must be prevented from voting at their polling place on Election Day due to: absence from city or town on election day, physical disability, or religious belief. Absentee ballots must be requested in writing by the voter or family member. Application must be received by Elections office by 12pm the day before election (or 5pm last business day if day before is holiday or Sunday). Ballots must be received by close of polls on Election Day.","Elections Quick Reference Training Guide 2024.docx, By Absentee Ballot section",Elections
When are vote-by-mail applications and ballots due?,"Vote-by-mail applications must be received by Elections office by 5pm on 8/06/24 for the Primary and 5pm on 10/29/24 for the State Election. Vote-by-mail ballots must be received by 8pm on election day. However, per VOTES Act, ballots postmarked on or before election day will be counted if received up to 4 days after the general election.","Elections Quick Reference Training Guide 2024.docx, By Mail section",Elections
Can vote-by-mail ballots be dropped off at polling places?,"No. Vote-by-mail ballots cannot be dropped off at a polling place on Election Day. They must be submitted by mail, drop box (by 5pm on Election day), or in person at the Elections office.","Elections Quick Reference Training Guide 2024.docx, By Mail section",Elections
What is the annual City Census and why should I complete it?,"Massachusetts law (MGL Chapter 51 Section 4) requires all cities and towns to conduct an annual census of residents 3 years and older as of January 1st. The census form is mailed automatically in January. Completing it keeps your voter status ACTIVE, provides proof of Somerville residency, and helps the city plan services. Census data is sent to the Office of Jury Commissioner for jury duty lists.","Elections Quick Reference Training Guide 2024.docx, Census section",Elections
When are census forms mailed?,"The census form is mailed in January to every household. In April, a mailing is sent to households that have not responded. A postcard is sent in June to any household that has not completed the Census.","Elections Quick Reference Training Guide 2024.docx, Census section",Elections
Where and when is early voting held in Somerville?,"Early voting is held in the City Council Chambers at Somerville City Hall. For September 3rd Primary: Sunday 8/25 (11am-5pm), Mon-Wed 8/26-28 (8:30am-4:30pm), Thursday 8/29 (8:30am-7:30pm), Friday 8/30 (8:30am-12:30pm). For November 5th Presidential Election: Saturday 10/19-Friday 11/01 including weekends with extended hours. Due to voter registration deadline change, voters can register and participate in early voting on the same day (10/21-10/26).","Elections Quick Reference Training Guide 2024.docx, Early Voting section",Elections
Can overseas voters receive ballots by email?,Yes. Overseas ballots can be emailed to overseas residents. Completed ballots can be mailed or emailed back to the Election office.,"Elections Quick Reference Training Guide 2024.docx, Election Results - overseas ballots section",Elections
What are provisional ballots?,"Provisional ballots are for individuals who believe they are registered to vote in Somerville but do not appear on voter rolls. Elections checks with RMV to see if they registered or updated registration before deadline with RMV and city didn't receive paperwork. If verified, ballot can be counted.","Elections Quick Reference Training Guide 2024.docx, Election Results - Provisional ballots section",Elections
Can I observe the vote counting process?,"Yes. The public can observe the vote count. Elections can use a high-speed counter (33rd polling place) to count some early votes prior to election day, but the count is not posted until polls have closed on election day.","Elections Quick Reference Training Guide 2024.docx, Election Results section",Elections
How long does it take to get official election results?,"Elections has 5 days after a primary to provide official results and 10 days after a general election to provide official results. Extra time allows for counting provisional ballots, overseas ballots, and ballots that cannot be read by voting machines (counted by hand). Unofficial results are provided after polls close on election day.","Elections Quick Reference Training Guide 2024.docx, Election Results section",Elections
What election records are available?,The Election office has voting result records available online for the past 100 years and Census records going back to the 1950s.,"Elections Quick Reference Training Guide 2024.docx, Election Results section",Elections
How many voting precincts are in Somerville?,"As a result of the 2020 Federal Census, the state legislature changed Congressional districts in Massachusetts. In Somerville, instead of having 21 voting precincts for 7 wards, there are now 32 precincts. Ward and precinct lines have moved. Many voters' polling places were changed in 2022. Certain sections of one street may belong to one precinct while the rest belongs to another.","Elections Quick Reference Training Guide 2024.docx, In-Person at Polls section",Elections
When do polls open on Election Day?,Polls are open from 7am-8pm on Election Day.,"Elections Quick Reference Training Guide 2024.docx, In-Person at Polls section",Elections
What is the National Census?,"US Constitution Article 1, Section 2, mandates that the country conduct a count of its population once every 10 years. The 2020 US Census was the 24th count since 1790. Census provides critical data for daily services, products, and support. Billions in federal funding go to hospitals, fire departments, schools, roads based on census data. Results determine number of seats each state has in U.S. House of Representatives and are used to draw congressional and state legislative districts.","Elections Quick Reference Training Guide 2024.docx, National Census section",Elections
What are the Elections office hours and location?,"The Elections office is located at 93 Highland Ave, Lower level, Somerville, MA 02143. Hours: Monday-Wednesday 8:30am-4:30pm, Thursday 8:30am-7:30pm, Friday 8:30am-12:30pm. Phone: 617-625-6600 ext. 4200. Email: elections@somervillema.gov or vote@somervillema.gov. Election Commissioner: Nicholas Salerno, x4210.","Elections Quick Reference Training Guide 2024.docx, page 1",Elections
How do I register to vote in Somerville?,"You must be a U.S. citizen, Somerville resident, and at least 18 years old. You can register online at sec.state.ma.us/ovr, at the RMV when getting/renewing a license, by mail (download form or request from 311), or in person at the Elections office. You can register up to 10 days before an election (changed from 20 days under the VOTES Act).","Elections Quick Reference Training Guide 2024.docx, Registering to Vote section",Elections
How can I return my census form?,"Return by: Mail (Somerville Election Department, 93 Highland Ave), Email (census@somervillema.gov), Fax (617-625-5643), In person (Elections Office, 93 Highland Ave), or Drop boxes at City Hall, Parking Department (133 Holland St), Central Branch Library (79 Highland Ave), or East Branch Library (115 Broadway).","Elections Quick Reference Training Guide 2024.docx, Returning Census Form section",Elections
Where are the election ballot drop boxes located?,"Election drop boxes are at: City Hall concourse (93 Highland Ave), East Somerville Community School (across from 68 Glen St), in front of Argenziano School (290 Washington St), in front of Somerville Community Baptist Church (31 College Ave), and in front of West Somerville Neighborhood School (177 Powder House Blvd).","Elections Quick Reference Training Guide 2024.docx, Verify location of drop boxes section",Elections
Where can I find my polling place?,"You can find your polling place at sec.state.ma.us/WhereDoIVoteMA/WhereDoIVote. Leave the street suffix blank unless there are multiple streets in Somerville with the same name (e.g., Highland Ave and Highland Rd). 311 can also help look up your polling place.","Elections Quick Reference Training Guide 2024.docx, Verify polling location section",Elections
How can I track my vote-by-mail ballot?,"Track your vote-by-mail ballot at sec.state.ma.us/WhereDoIVoteMA/TrackMyBallot. You'll need your first and last name and address. Status options: Accepted (ballot submitted to be counted), Pending (application received, ballot not yet mailed), Rejected (ballot rejected), or Not Returned (ballot not yet received).","Elections Quick Reference Training Guide 2024.docx, Verify status of vote by mail ballots section",Elections
How can I check my voter registration status?,You can check your voter registration status at sec.state.ma.us/VoterRegistrationSearch/MyVoterRegStatus.aspx or by contacting the Elections office. 311 can also help verify your voter registration status.,"Elections Quick Reference Training Guide 2024.docx, Verify voter registration status section",Elections
What are my options for voting?,"You can vote by: (1) Absentee ballot if absent, physically disabled, or prevented by religious belief on Election Day; (2) Mail ballot (no excuse needed per VOTES Act); (3) Early voting (1 week for primaries, 2 weeks for general elections); or (4) In-person at your polling place on Election Day (7am-8pm).","Elections Quick Reference Training Guide 2024.docx, Voting Options section",Elections
What voter registration age requirements exist?,"Residents age 16+ can register for local elections, and 18+ for state/federal elections.","New Hire Training PPT.pdf, Elections Key Takeaways slide",Elections
What is a Municipal Lien Certificate?,"A Municipal Lien Certificate is a legal document that lists all unpaid taxes, assessments, and utility charges on a particular real estate parcel at time of issuance. Usually requested when property is being sold, refinanced, or for insurance claim. All requests must contain a parcel number, property location, and current owner's name. Tax collector has ten days to provide MLC after request. Cost is $60-$250. An MLC is good for 60 days.","Finance Quick Reference Training Guide 2024 v2.docx, Municipal Lien Certificate section",Finance
What is a lien on property?,"A lien is a claim or legal right against assets typically used as collateral to satisfy a debt. Cities and towns in Massachusetts have the right to file a lien against a property owner in the Registry of Deeds to collect back taxes. If tax is not paid within six months, a Petition to Foreclose is filed in Massachusetts Land Court. The interest rate on a Tax Title account is 16% as established by MGL.","Finance Quick Reference Training Guide 2024 v2.docx, What is a lien section",Finance
What is the difference between Preliminary Tax and Real Estate Tax bills?,"The 1st and 2nd quarter bills (August and November) are Preliminary Tax bills - estimated bills based on the previous fiscal year's actual tax times 2.5%, divided by 4. The 3rd and 4th quarter bills (February and May) are Real Estate Tax bills - the actual tax for the fiscal year with preliminary amounts already paid subtracted.","Finance Quick Reference Training Guide 2024 v2.docx, What is a Preliminary/Real Estate Tax sections",Finance
What does the Assessor's Department do?,"The Assessing Department maintains a database of commercial, industrial, and residential property values. They manage personal property (business) and motor vehicle excise tax. Assessing sets the tax rate and determines the value for real estate (residential & commercial) and personal property on which tax amounts are calculated. They re-evaluate individual property values upon request and process all applications for abatements and tax exemptions.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Assessor description",Finance
How can I access the Assessor's property database?,"Access the Assessor's database to find assessed value for FY 2024 for all properties in Somerville by searching with property's legal address at gis.vgsi.com/somervillema/Search.aspx or click links on assessor's page. Database provides current property owner's name and mailing address, names of previous owners, property sale price, date of sale, and property details. All information is available to the general public.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Assessor's Database",Finance
What are the Assessor's office hours and contact?,"Phone: 617-625-6600 x3100. Chief Assessor: Frank Golden, x3110. Deputy Assessor: Janneke Donovan-DeKlerk, 3105. Administrative Assistant: Carla Rocha, x3115. Clerks: Michelle Cameron, x3107 and Sara Negrini, x3108. Located at 93 Highland Ave.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Assessor's Department",Finance
Where can I find information on open city bids?,All current bids are listed on the Somerville portal at somervillema.gov/departments/finance/procurement-and-contracting-services.,"Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Bids information",Finance
Can I get an abatement on my excise tax bill?,"Yes, file for abatement if vehicle registration is transferred out of state or if you no longer have possession/ownership and plate was canceled or transferred to another vehicle. Provide copy of new out-of-state registration, registration cancellation receipt, and proof vehicle was sold, traded, junked, or donated to Assessor's office. Filing an abatement doesn't stop collection, so pay by deadline to avoid interest. If approved, city issues refund within 6-8 weeks. Penalties won't be waived unless original excise tax is abated to $5 or less.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise abatement",Finance
Can Treasury mail my excise bill to a different address?,"Treasury can issue a duplicate excise tax bill, but it can only be mailed to the address listed on the RMV system. Treasury requires constituents to email a copy of their driver's license as proof of identity before confirming the address bills are mailed to, because mailing addresses are not public information. That's why mailing address is not listed when you view an excise bill via Kelley & Ryan portal.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise bill duplicate",Finance
Why can't I find my excise bill online?,"Usually due to a keying error. Check: selected correct tax year and municipality, typed plate number and license number correctly. Often the error is not entering name as listed in RMV system. Name must be entered exactly as on RMV system even if misspelled or in wrong order (e.g., first name listed as last name). If RMV records are incorrect, file an RTA form to correct for future bills.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise bill lookup",Finance
How is my vehicle excise tax calculated?,"The excise rate is $25 per $1,000 of your vehicle's manufacturer's suggested retail price (not actual purchase price). Percentage decreases annually: 50% for new vehicles in year of manufacture, 90% in 2nd year, 60% in 3rd year, 40% in 4th year, 25% in 5th year, and 10% for year 6 and beyond.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise calculation",Finance
Where can I pay my excise tax bill?,"View and pay excise tax bills online via Kelley & Ryan website at epay.kelleyryan.com/search by entering driver's license number and DOB or bill number and last name. Payments can also be mailed to City Hall, placed in drop box outside main entrance, or paid at Treasury window with cash or check. Online payments have 3.2% fee (minimum $3) on credit cards and $0.50 on eCheck payments.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise payment",Finance
What penalties apply to unpaid excise tax bills?,"If not paid within 30 days, you receive a demand notice with up to $18 fee plus 12% annual interest. After 14 days with no response, a warrant is issued ($10 fee). Then warrant notice ($12 fee), followed by final service warrant ($17 fee). A registry hold may be placed on registration and driver's license, preventing renewal until all balances paid in full.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise penalties",Finance
Am I responsible for an excise tax bill if I no longer own the vehicle?,"Yes. Constituents are responsible for the excise tax bill even if they no longer own the vehicle if the plate has not been cancelled. You must file for an abatement with the Assessor's office if you've sold, traded, junked, or donated the vehicle and cancelled or transferred the plate.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise responsibility",Finance
When are excise tax bills issued and due?,Excise tax bills are issued for vehicles registered in Massachusetts as of January 1st. Bills are mailed to address listed on RMV records as of January 1st. Bills are issued mid-February and due within 30 days (in March). Vehicles purchased after January 1st receive bills approximately 6-8 weeks later.,"Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Excise Tax Bill",Finance
What interest rates are charged on overdue bills?,"Real Estate and Personal Property outstanding balances are subject to 14% interest per Massachusetts General Law Chapter 59, sections 57 and 57C. Tax Title interest rate is 16% under MGL Chapter 60, section 62. Water bill outstanding balances have 14% interest. Excise tax interest rate is 12% under MGL 60A, section 2. These rates are mandated by state law and cannot be waived.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Interest rates",Finance
Can the Mayor or my City Councilor reduce my property assessment?,"No. The law prohibits this. Elected officials cannot decrease an assessment based upon hardship or for any other reason. By law, assessments must be determined by the Assessors according to State DOR regulations. Assessments cannot be arbitrarily lowered to reduce tax liability. Only the Assessors have authority to grant abatements under Massachusetts General Law Chapter 59, and reductions are granted only if additional information indicates the value should be lowered.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Mayor/Councilor reduce assessment FAQ",Finance
Can the Treasury or Assessor waive interest and penalties?,"No. Interest and penalties charged on past due bills are set by state law. The Treasury and Assessor departments cannot waive fees under any circumstances. It requires the passing of legislation to waive fees. Penalties, fees and interest accrued on excise bills will not be waived even if the bill is abated, unless the original bill amount is reduced to a zero balance.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Multiple sections",Finance
What are Treasury/Tax Collector hours and location?,"Located at 93 Highland Ave, Somerville, MA 02143. Hours: Monday-Wednesday 8:30am-4:30pm, Thursday 8:30am-7:30pm, Friday 8:30am-12:30pm. Phone: 617-625-6600 x3500. City Treasurer: Linda Dubuque, x3510. Deputy Treasurer: Cheryl Cruz, 3509.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, page 1",Finance
Can I make partial payments on tax bills?,"The Treasury department can accept partial payments for Real Estate and Personal Property taxes; however, interest and penalties will be assessed on past due amounts. The Treasury department CANNOT accept partial payment for excise tax bills. If constituents have multiple excise tax bills, they can pay one bill at a time.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Partial payments",Finance
How can I pay my real estate or personal property tax bill?,"You can pay online at somervillema.gov/online via electronic check (free) or debit/credit card (2.95% fee), by mail to PO Box or 93 Highland Ave, in the silver payment lockbox at City Hall's front entrance, or in person at the Treasury window. Payments mailed/dropped off are processed upon receipt but posting date is the date processed, not the check date. Payments at Treasury window are posted immediately.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Payment options",Finance
What is personal property tax?,"Personal property tax is assessed upon non-real estate tangible assets associated with Somerville businesses for the fiscal year starting July 1. These assets include all machinery, equipment, inventory, etc. used in conduct of business as of January 1st. Tax is due quarterly on same schedule as real estate taxes.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Personal Property Tax",Finance
What does the Procurement and Contracting Services Division do?,"Procurement actively generates competition for City contracts by advertising bids and requests for proposals for larger purchases and soliciting quotes for smaller purchases. They oversee all procurement activities and related contract preparations, monitor compliance with procurement laws, and maintain records of vendor performance. Chief Procurement Officer: Angela Allen, x3410.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Procurement section",Finance
